,index,Season,Opponent,Team,VisitingTeam,Conc,OppWin,OppLSWin,ColtsWin,ColtsLSWin,RoadAttendance,FacebookFans,Distance,Home Opener,Temp at Kick,Rain/Snow,Colts Out of Contention,LastVisitYears,OppScoredLY,OppDefGivenLY,OppPlayoff(Prev Bin),Top25Jersey(Ordinal),OffMVP(Interval),DefMVP(Interval),OddsFeb,Division,GAindyL10
1,0,2012,Tennessee,Titans,Tennessee Titans,2012Tennessee Titans,0.333,0.563,0.667,0.125,94.1,942098,289,0,54,1,0,1,325,317,0,1,0,0,5000,1,5
2,1,2012,Houston,Texans,Houston Texans,2012Houston Texans,0.846,0.625,0.625,0.125,88.7,2205376,1014,0,28,0,0,1,381,278,1,0,0,0,1200,1,7
3,2,2012,Jacksonville,Jaguars,Jacksonville Jaguars,2012Jacksonville Jaguars,0.125,0.313,0.5,0.125,96.8,625830,878,0,63,0,0,1,243,329,0,0,0,0,10000,1,5
4,3,2012,Minnesota,Vikings,Minnesota Vikings,2012Minnesota Vikings,1,0.188,0,0.125,93.4,2160261,594,1,72,0,0,8,340,449,0,2,0,21,8000,0,6
5,4,2012,Green Bay,Packers,Green Bay Packers,2012Green Bay Packers,0.5,0.938,0.333,0.125,98.8,5300984,398,0,50,0,0,8,560,359,1,2,48,1,600,0,22
6,5,2012,Cleveland,Browns,Cleveland Browns,2012Cleveland Browns,0.167,0.25,0.4,0.125,94.7,1256162,317,0,70,0,0,1,218,307,0,1,0,0,10000,0,12
7,6,2012,Miami,Dolphins,Miami Dolphins,2012Miami Dolphins,0.571,0.375,0.571,0.125,94.9,2277308,1195,0,45,0,0,6,329,313,0,0,0,0,4000,0,7
8,7,2012,Buffalo,Bills,Buffalo Bills,2012Buffalo Bills,0.4,0.375,0.6,0.125,90,892337,500,0,45,0,0,6,372,434,0,0,0,0,8000,0,5
9,8,2013,Tennessee,Titans,Tennessee Titans,2013Tennessee Titans,0.455,0.375,0.636,0.688,92.8,942098,289,0,52,0,0,1,330,471,0,0,0,0,10000,1,5
10,9,2013,Houston,Texans,Houston Texans,2013Houston Texans,0.154,0.75,0.615,0.688,99.6,2205376,1014,0,21,0,0,1,416,331,1,0,0,49,1200,1,7
11,10,2013,Jacksonville,Jaguars,Jacksonville Jaguars,2013Jacksonville Jaguars,0.267,0.125,0.667,0.688,89,625830,878,0,45,0,0,1,255,444,0,0,0,0,15000,1,5
12,11,2013,Oakland,Raiders,Oakland Raiders,2013Oakland Raiders,0,0.25,0,0.688,93.4,3399562,2266,1,88,0,0,9,290,443,0,1,0,0,15000,0,8
13,12,2013,Seattle,Seahawks,Seattle Seahawks,2013Seattle Seahawks,1,0.688,0.75,0.688,91.3,3925846,2250,0,59,0,0,4,412,245,1,1,0,0,1200,0,10
14,13,2013,Denver,Broncos,Denver Broncos,2013Denver Broncos,1,0.813,0.667,0.688,97,4368268,1085,0,63,0,0,4,481,289,1,2,19.5,1,800,0,7
15,14,2013,St. Louis,Rams,St.Louis Rams,2013St.Louis Rams,0.333,0.438,0.75,0.688,94.3,864497,243,0,48,0,0,8,299,348,0,0,0,0,6600,0,6
16,15,2013,Miami,Dolphins,Miami Dolphins,2013Miami Dolphins,1,0.438,1,0.688,97.9,2277308,1195,0,75,0,0,1,288,317,0,0,0,0,6600,0,7
17,16,2014,Philadelphia,Eagles,Philadelphia Eagles,2014Philadelphia Eagles,1,0.625,0,0.688,98.6,3259642,643,1,66,0,0,8,442,382,1,1,0,0,3000,0,10
18,17,2014,Tennessee,Titans,Tennessee Titans,2014Tennessee Titans,0.333,0.438,0.333,0.688,93.9,942098,289,0,81,0,0,1,362,381,0,0,0,0,6000,1,5
19,18,2014,Baltimore,Ravens,Baltimore Ravens,2014Baltimore Ravens,0.75,0.5,0.5,0.688,96.9,2314857,578,0,57,0,0,6,320,352,0,0,0,0,3000,0,7
20,19,2014,Cincinnati,Bengals,Cincinnati Bengals,2014Cincinnati Bengals,0.6,0.688,0.667,0.688,89.3,1178447,112,0,55,0,0,4,430,305,1,0,0,0,2000,0,11
21,20,2014,New England,Patriots,New England Patriots,2014New England Patriots,0.778,0.75,0.667,0.688,97.8,7078550,937,0,36,0,0,5,444,338,1,1,1,0,700,0,25
22,21,2014,Jacksonville,Jaguars,Jacksonville Jaguars,2014Jacksonville Jaguars,0.1,0.25,0.6,0.688,95.8,625830,878,0,52,1,0,1,247,449,0,0,0,0,20000,1,5
23,22,2014,Washington,Redskins,Washington Redskins,2014Washington Redskins,0.273,0.188,0.636,0.688,100.8,1961041,572,0,64,0,0,8,334,478,0,1,0,0,4000,0,6
24,23,2014,Houston,Texans,Houston Texans,2014Houston Texans,0.538,0.125,0.692,0.688,96.1,2205376,1014,0,46,0,0,1,276,428,0,1,0,2,3000,1,7
25,24,2015,New York,Jets,New York Jets,2015New York Jets,1,0.25,0,0.688,94.7,1920922,713,1,70,0,0,6,283,401,0,0,0,0,10000,0,5
26,25,2015,Jacksonville,Jaguars,Jacksonville Jaguars,2015Jacksonville Jaguars,0.333,0.188,0.333,0.688,95.1,625830,878,0,75,0,0,1,249,412,0,0,0,0,30000,1,5
27,26,2015,New England,Patriots,New England Patriots,2015New England Patriots,1,0.75,0.6,0.688,99.4,7078550,937,0,59,0,0,1,468,313,1,1,1,0,600,0,25
28,27,2015,New Orleans,Saints,New Orleans Saints,2015New Orleans Saints,0.333,0.438,0.5,0.688,99,4023071,821,0,61,0,0,8,401,424,0,1,0,0,2500,0,8
29,28,2015,Denver,Broncos,Denver Broncos,2015Denver Broncos,1,0.75,0.375,0.688,96.6,4368268,1085,0,54,0,0,2,482,354,1,1,0,0,800,0,7
30,29,2015,Tampa Bay,Buccaneers,Tampa Bay Buccaneers,2015Tampa Bay Buccaneers,0.5,0.125,0.5,0.688,95.2,944125,1010,0,41,0,0,8,277,410,0,0,0,0,20000,0,3
31,30,2015,Houston,Texans,Houston Texans,2015Houston Texans,0.462,0.563,0.462,0.688,96.2,2205376,1014,0,46,0,0,1,372,307,0,1,0,13,30000,1,7
32,31,2015,Tennessee,Titans,Tennessee Titans,2015Tennessee Titans,0.2,0.125,0.467,0.688,94.8,942098,289,0,32,0,0,1,254,438,0,0,0,0,30000,1,5
33,32,2016,Detroit,Lions,Detroit Lions,2016Detroit Lions,0,0.438,0,0.5,98.4,1905486,287,1,76,0,0,8,358,400,0,0,0,0,4000,0,8
